"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
839,"1","2025-07-17T07:22:45.956242Z",2430,4.041,"기타","""화려한 부스들과 신작 게임 시연, e스포츠 팬이라면 놓칠 수 없는 축제!""","2025-07-17T07:22:45.956260Z"
840,"1","2025-07-17T07:22:47.162435Z",2431,1.068,"e스포츠","""프로게이머들의 숨 막히는 경기를 현장에서 보니 심장이 멎는 줄 알았어요.""","2025-07-17T07:22:47.162456Z"
841,"1","2025-07-17T07:22:48.181130Z",2432,0.884,"e스포츠","""새롭게 출시될 게임들을 미리 체험해볼 수 있어서 시간 가는 줄 몰랐네요.""","2025-07-17T07:22:48.181148Z"
842,"1","2025-07-17T07:22:52.402016Z",2433,4.091,"기타","""다양한 굿즈와 이벤트 덕분에 두 손 가득히 돌아왔습니다.""","2025-07-17T07:22:52.402032Z"
843,"1","2025-07-17T07:22:56.003138Z",2434,3.461,"e스포츠","""게임 속 세상을 현실에서 만나는 듯한 생생함, 내년에도 꼭 다시 올 거예요.""","2025-07-17T07:22:56.003156Z"
844,"1","2025-07-17T07:22:57.242836Z",2435,1.106,"e스포츠","""전 세계 게이머들이 하나 되는 열기를 직접 느껴보세요!""","2025-07-17T07:22:57.242855Z"
845,"1","2025-07-17T07:22:58.619026Z",2436,1.241,"e스포츠","""단순한 게임쇼가 아니라, 하나의 거대한 문화 축제였습니다.""","2025-07-17T07:22:58.619043Z"
846,"1","2025-07-17T07:23:00.589542Z",2437,1.832,"기타","""유명 스트리머와 개발자들을 직접 만날 수 있는 특별한 경험이었어요.""","2025-07-17T07:23:00.589559Z"
847,"1","2025-07-17T07:23:02.297978Z",2438,1.586,"e스포츠","""e스포츠의 미래를 한자리에서 볼 수 있었던 의미 있는 시간이었습니다.""","2025-07-17T07:23:02.297987Z"
848,"1","2025-07-17T07:23:05.266995Z",2439,2.833,"e스포츠","""역대급 라인업과 볼거리로 가득했던 최고의 게임 이벤트!""","2025-07-17T07:23:05.267016Z"
849,"1","2025-07-17T07:23:07.677587Z",2440,2.276,"웰니스","""복잡한 도심을 떠나 고요한 자연 속에서 진정한 쉼을 얻었습니다.""","2025-07-17T07:23:07.677606Z"
850,"1","2025-07-17T07:23:09.510092Z",2441,1.69,"웰니스","""몸과 마음이 정화되는 기분, 숲길을 걷는 것만으로도 힐링이 돼요.""","2025-07-17T07:23:09.510111Z"
851,"1","2025-07-17T07:23:12.175006Z",2442,2.531,"웰니스","""따뜻한 온천에 몸을 담그니 그동안 쌓였던 피로가 눈 녹듯 사라졌어요.""","2025-07-17T07:23:12.175026Z"
852,"1","2025-07-17T07:23:13.736490Z",2443,1.408,"웰니스","""건강한 식단과 명상 프로그램으로 나를 되찾는 시간을 가졌습니다.""","2025-07-17T07:23:13.736508Z"
853,"1","2025-07-17T07:23:15.148226Z",2444,1.279,"웰니스","""고요한 산사에서 보낸 하루가 일상의 소중함을 다시금 깨닫게 해주었네요.""","2025-07-17T07:23:15.148241Z"
854,"1","2025-07-17T07:23:17.094765Z",2445,1.801,"기타","""스트레스는 비우고, 긍정적인 에너지는 가득 채워 갑니다.""","2025-07-17T07:23:17.094790Z"
855,"1","2025-07-17T07:23:19.270774Z",2446,2.037,"웰니스","""자연의 소리에 귀 기울이며 온전히 나에게 집중할 수 있었던 최고의 휴식.""","2025-07-17T07:23:19.270794Z"
856,"1","2025-07-17T07:23:23.576489Z",2447,4.17,"웰니스","""편백나무 숲의 상쾌한 공기, 숨만 쉬어도 건강해지는 느낌이에요.""","2025-07-17T07:23:23.576505Z"
857,"1","2025-07-17T07:23:24.870110Z",2448,1.149,"기타","""여기서는 시간이 멈춘 것처럼 평화롭고 여유로웠어요.""","2025-07-17T07:23:24.870130Z"
858,"1","2025-07-17T07:23:26.044168Z",2449,1.04,"기타","""일상에 지친 당신에게 완벽한 재충전의 장소가 될 거예요.""","2025-07-17T07:23:26.044188Z"
859,"1","2025-07-17T07:23:31.271473Z",2450,5.036,"뷰티","""한국 아티스트의 섬세한 손길로 인생 네일아트를 완성했어요!""","2025-07-17T07:23:31.271488Z"
860,"1","2025-07-17T07:23:33.583171Z",2451,2.074,"뷰티","""전문가의 컨설팅을 받고 나에게 꼭 맞는 화장품을 찾았습니다.""","2025-07-17T07:23:33.583187Z"
861,"1","2025-07-17T07:23:34.650194Z",2452,0.934,"뷰티","""최신 K-뷰티 트렌드를 직접 체험하고 나니 자신감이 생겼어요.""","2025-07-17T07:23:34.650211Z"
862,"1","2025-07-17T07:23:35.586237Z",2453,0.783,"뷰티","""피부과 시술 하나로 잃어버렸던 얼굴 라인을 되찾은 기분이에요.""","2025-07-17T07:23:35.586255Z"
863,"1","2025-07-17T07:23:36.452704Z",2454,0.721,"기타","""헤어스타일 하나 바꿨을 뿐인데, 주변에서 다들 예뻐졌다고 칭찬해요.""","2025-07-17T07:23:36.452729Z"
864,"1","2025-07-17T07:23:42.683502Z",2455,6.092,"뷰티","""로드샵부터 백화점까지, 화장품 쇼핑만으로도 하루가 부족해요.""","2025-07-17T07:23:42.683522Z"
865,"1","2025-07-17T07:23:43.965698Z",2456,1.142,"기타","""메이크업 클래스에서 배운 팁 덕분에 매일 아침이 즐거워졌어요.""","2025-07-17T07:23:43.965718Z"
866,"1","2025-07-17T07:23:45.500534Z",2457,1.395,"뷰티","""합리적인 가격에 최상의 서비스를 받을 수 있는 곳, 역시 K-뷰티!""","2025-07-17T07:23:45.500556Z"
867,"1","2025-07-17T07:23:52.098691Z",2458,6.462,"기타","""머리부터 발끝까지 완벽하게 변신할 수 있었던 꿈같은 시간이었습니다.""","2025-07-17T07:23:52.098705Z"
868,"1","2025-07-17T07:23:55.955510Z",2459,3.713,"웰니스","""친구와 함께 스파에서 관리받으며 특별한 추억을 만들었어요.""","2025-07-17T07:23:55.955531Z"
869,"1","2025-07-17T07:24:00.795754Z",2460,4.705,"미식","""현지인만 아는 숨겨진 맛집, 인생 최고의 국밥을 만났습니다.""","2025-07-17T07:24:00.795765Z"
870,"1","2025-07-17T07:24:02.157104Z",2461,1.218,"미식","""싱싱한 제철 해산물로 차려진 한 상에 입이 떡 벌어졌어요.""","2025-07-17T07:24:02.157129Z"
871,"1","2025-07-17T07:24:03.310292Z",2462,1.011,"미식","""전통 시장에서 맛본 길거리 음식들은 하나하나가 감동이었어요.""","2025-07-17T07:24:03.310310Z"
872,"1","2025-07-17T07:24:04.751765Z",2463,1.293,"미식","""그 지역에서만 맛볼 수 있는 특별한 요리, 잊지 못할 맛의 경험.""","2025-07-17T07:24:04.751788Z"
873,"1","2025-07-17T07:24:05.907120Z",2464,1.028,"미식","""유명 셰프의 레스토랑, 음식 하나하나에 담긴 정성이 느껴졌습니다.""","2025-07-17T07:24:05.907133Z"
874,"1","2025-07-17T07:24:06.985057Z",2465,0.936,"미식","""오직 맛을 위해 떠난 여행, 기대 이상의 만족감을 얻었어요.""","2025-07-17T07:24:06.985078Z"
875,"1","2025-07-17T07:24:07.887859Z",2466,0.763,"미식","""달콤한 디저트와 향긋한 커피 한 잔의 여유, 여행의 완벽한 마무리.""","2025-07-17T07:24:07.887883Z"
876,"1","2025-07-17T07:24:09.378865Z",2467,1.354,"미식","""지역 특산물로 만든 요리는 맛도 건강도 최고였어요.""","2025-07-17T07:24:09.378884Z"
877,"1","2025-07-17T07:24:10.470765Z",2468,0.954,"기타","""먹는 즐거움이 여행의 절반이라는 말을 실감했습니다.""","2025-07-17T07:24:10.470780Z"
878,"1","2025-07-17T07:24:12.386100Z",2469,1.782,"미식","""다음엔 어떤 맛을 찾아 떠나볼까? 벌써부터 설레네요.""","2025-07-17T07:24:12.386118Z"
879,"1","2025-07-17T07:24:15.178935Z",2470,2.645,"해양","""푸른 바다 위를 가르는 요트, 영화 속 주인공이 된 기분이었어요.""","2025-07-17T07:24:15.178951Z"
880,"1","2025-07-17T07:24:16.218875Z",2471,0.899,"해양","""해운대의 밤바다는 낭만 그 자체, 파도 소리가 정말 아름다워요.""","2025-07-17T07:24:16.218901Z"
881,"1","2025-07-17T07:24:17.433085Z",2472,1.081,"해양","""짜릿한 수상 레저를 즐기며 무더위를 한 방에 날려버렸습니다.""","2025-07-17T07:24:17.433103Z"
882,"1","2025-07-17T07:24:18.861307Z",2473,1.278,"해양","""아름다운 해안선을 따라 달리는 드라이브, 최고의 풍경이었어요.""","2025-07-17T07:24:18.861332Z"
883,"1","2025-07-17T07:24:22.447136Z",2474,3.449,"해양","""일렁이는 바다를 보며 즐기는 해변에서의 바베큐는 잊을 수 없어요.""","2025-07-17T07:24:22.447153Z"
884,"1","2025-07-17T07:24:24.462180Z",2475,1.88,"해양","""서핑에 처음 도전했는데, 파도와 하나가 되는 순간의 희열이 엄청났어요.""","2025-07-17T07:24:24.462202Z"
885,"1","2025-07-17T07:24:30.105331Z",2476,5.493,"해양","""투명한 카약을 타고 바닷속을 들여다보는 신비로운 경험!""","2025-07-17T07:24:30.105355Z"
886,"1","2025-07-17T07:24:33.996034Z",2477,3.751,"미식","""싱싱한 해산물과 함께한 바닷가에서의 식사는 그야말로 꿀맛.""","2025-07-17T07:24:33.996042Z"
887,"1","2025-07-17T07:24:35.782527Z",2478,1.651,"해양","""탁 트인 바다를 보니 막혔던 가슴이 뻥 뚫리는 기분입니다.""","2025-07-17T07:24:35.782559Z"
888,"1","2025-07-17T07:24:39.921196Z",2479,4.01,"해양","""석양이 물드는 해변을 걷는 것만으로도 완벽한 하루였어요.""","2025-07-17T07:24:39.921206Z"
889,"1","2025-07-17T07:24:41.735591Z",2480,1.682,"기타","""최애 아이돌 콘서트 직관, 함성 소리와 열기에 온몸에 소름이 돋았어요.""","2025-07-17T07:24:41.735613Z"
890,"1","2025-07-17T07:24:42.747022Z",2481,0.869,"기타","""드라마 촬영지를 직접 와보니 마치 주인공이 된 것 같아요.""","2025-07-17T07:24:42.747040Z"
891,"1","2025-07-17T07:24:43.645006Z",2482,0.762,"k-문화","""생동감 넘치는 뮤지컬 배우들의 연기와 노래에 완전히 매료되었습니다.""","2025-07-17T07:24:43.645018Z"
892,"1","2025-07-17T07:24:44.574805Z",2483,0.781,"기타","""웹툰 속 배경이 된 장소를 찾아다니는 재미가 쏠쏠했어요.""","2025-07-17T07:24:44.574828Z"
893,"1","2025-07-17T07:24:45.491354Z",2484,0.782,"k-문화","""부산국제영화제에서 평소 좋아하던 감독님을 만나다니, 꿈만 같아요!""","2025-07-17T07:24:45.491365Z"
894,"1","2025-07-17T07:24:46.446510Z",2485,0.822,"k-문화","""K-POP 댄스 클래스, 몸은 힘들었지만 정말 신나고 특별한 경험이었어요.""","2025-07-17T07:24:46.446530Z"
895,"1","2025-07-17T07:24:47.356233Z",2486,0.776,"기타","""전 세계 팬들과 함께 K-문화를 즐기는 이 순간, 정말 자랑스러워요.""","2025-07-17T07:24:47.356249Z"
896,"1","2025-07-17T07:24:48.822705Z",2487,1.334,"k-문화","""홍대 버스킹 공연, 길거리에서 만난 수준 높은 라이브에 발걸음을 멈췄어요.""","2025-07-17T07:24:48.822722Z"
897,"1","2025-07-17T07:24:50.634489Z",2488,1.667,"기타","""전시회에서 만난 한국 아티스트들의 작품은 정말 인상 깊었습니다.""","2025-07-17T07:24:50.634514Z"
898,"1","2025-07-17T07:24:51.897748Z",2489,1.128,"k-문화","""한국 영화의 힘과 매력을 다시 한번 느낄 수 있었던 시간이었습니다.""","2025-07-17T07:24:51.897764Z"
899,"1","2025-07-17T07:24:53.811384Z",2490,1.777,"기타","""생각했던 것보다 괜찮았어요.""","2025-07-17T07:24:53.811404Z"
900,"1","2025-07-17T07:24:55.115415Z",2491,1.17,"기타","""기회가 되면 다시 방문하고 싶네요.""","2025-07-17T07:24:55.115432Z"
901,"1","2025-07-17T07:24:56.218608Z",2492,0.963,"기타","""전체적으로 무난하고 좋았습니다.""","2025-07-17T07:24:56.218623Z"
902,"1","2025-07-17T07:24:57.473530Z",2493,1.112,"기타","""직원분들이 친절해서 기분 좋았어요.""","2025-07-17T07:24:57.473550Z"
903,"1","2025-07-17T07:24:58.545432Z",2494,0.937,"기타","""기대를 너무 많이 해서 그런지 조금 아쉬웠어요.""","2025-07-17T07:24:58.545456Z"
904,"1","2025-07-17T07:24:59.614207Z",2495,0.931,"기타","""한 번쯤 경험해볼 만한 것 같아요.""","2025-07-17T07:24:59.614248Z"
905,"1","2025-07-17T07:25:00.926896Z",2496,1.177,"기타","""위치가 좋아서 찾아가기 편했습니다.""","2025-07-17T07:25:00.926910Z"
906,"1","2025-07-17T07:25:02.048531Z",2497,0.982,"기타","""가격 대비 만족도는 보통입니다.""","2025-07-17T07:25:02.048548Z"
907,"1","2025-07-17T07:25:03.334764Z",2498,1.159,"기타","""깨끗하고 시설이 잘 관리되어 있었어요.""","2025-07-17T07:25:03.334780Z"
908,"1","2025-07-17T07:25:04.675717Z",2499,1.193,"기타","""주변 사람들에게 추천할 만합니다.""","2025-07-17T07:25:04.675731Z"
